Net_YY,Customer,Solid,Stript,Check,1W_Match,2W_Match,LS,Plan_Cut_Qty,Repeat_x,Repeat_y,Avgÿ_Neck_Size,Double_Cuff,Marker_width,Dress,Sport
1.471999963,PF,1,0,0,0,1,1,10,0,0,32.8,0,60.8,0.996,0.004
1.222916683,PF,1,0,0,0,1,1,8,0,0,31.3,0,61.8,1.000,0.000
1.69527785,PF,0,1,0,0,1,1,2,0,0.125,33.0,0,61.5,1.000,0.000
1.685960134,PF,1,0,0,0,1,1,123,0,0,34.8,0,60.5,1.000,0.000
1.685960134,PF,1,0,0,0,1,1,4,0,0,34.8,0,60.5,1.000,0.000
1.644722144,PF,1,0,0,0,1,1,2,0,0,33.0,0,61.8,1.000,0.000
1.686142921,PF,1,0,0,0,1,1,33,0,0,35.1,0,60.8,1.000,0.000
1.686142921,PF,1,0,0,0,1,1,2,0,0,35.1,0,60.8,1.000,0.000
1.872222265,PF,1,0,0,0,1,1,4,0,0,35.0,0,61.5,1.000,0.000
1.620790641,PF,1,0,0,0,1,1,16,0,0,33.8,0,60.8,1.000,0.000
1.620790641,PF,1,0,0,0,1,1,10,0,0,33.8,0,60.8,1.000,0.000
1.767305533,PF,1,0,0,0,1,1,16,0,0,36.5,0,61.2,1.000,0.000
1.767305533,PF,1,0,0,0,1,1,4,0,0,36.5,0,61.2,1.000,0.000
1.72735548,PF,1,0,0,0,1,1,25,0,0,35.5,0,61.0,1.000,0.000
1.594722271,PF,1,0,0,0,1,1,2,0,0,33.0,0,60.8,1.000,0.000
1.791230202,PF,1,0,0,0,1,1,14,0,0,36.4,0,60.8,1.000,0.000
1.90814813,PF,1,0,0,0,1,1,6,0,0,37.0,1,61.0,1.000,0.000
1.709259192,PF,1,0,0,0,1,1,6,0,0,34.0,1,60.8,1.000,0.000
1.998750051,PF,1,0,0,0,1,1,2,0,0,37.5,1,60.9,1.000,0.000
1.998750051,PF,1,0,0,0,1,1,2,0,0,37.5,1,60.9,1.000,0.000
1.913888931,PF,1,0,0,0,1,1,10,0,0,37.0,1,61.0,1.000,0.000
1.553333282,PF,1,0,0,0,1,1,2,0,0,31.0,1,61.0,1.000,0.000
1.914166609,CIN,1,0,0,0,1,1,2,0,0,37.0,0,64.8,1.000,0.000
2.299444516,CIN,1,0,0,0,1,1,5,0,0,45.0,0,64.0,1.000,0.000
2.498611132,CIN,1,0,0,0,1,1,11,0,0,49.0,0,64.3,1.000,0.000
1.449166616,CIN,1,0,0,0,1,1,6,0,0,31.0,0,64.3,1.000,0.000
1.646770795,CIN,1,0,0,0,1,1,24,0,0,38.8,0,64.8,0.910,0.090
1.690000057,CIN,1,0,0,0,1,1,11,0,0,31.0,0,61.8,1.000,0.000
2.031924566,CIN,1,0,0,0,1,1,42,0,0,40.7,0,62.0,1.000,0.000
1.603611151,CIN,1,0,0,0,1,1,5,0,0,28.0,0,61.8,1.000,0.000
2.073888938,CIN,0,1,0,0,1,0,1,0,0.156000003,45.0,0,61.5,0.910,0.090
1.284722249,CIN,1,0,0,0,1,0,4,0,0,28.0,0,61.0,0.956,0.044
1.347222169,CIN,1,0,0,0,1,1,2,0,0,27.0,0,64.3,1.000,0.000
1.258055528,CIN,1,0,0,0,1,1,2,0,0,26.0,0,61.8,1.000,0.000
1.023333311,CIN,1,0,0,0,1,0,11,0,0,25.0,0,61.8,0.956,0.044
1.667222182,PF,1,0,0,0,1,1,2,0,0,32.0,1,61.0,1.000,0.000
1.755198479,PF,1,0,0,0,1,1,35,0,0,35.0,1,60.8,1.000,0.000
1.928085645,PF,1,0,0,0,1,1,37,0,0,35.4,1,56.3,0.998,0.002
1.869537036,PF,1,0,0,0,1,1,12,0,0,34.8,1,56.5,1.000,0.000
1.923796336,PF,1,0,0,0,1,1,12,0,0,35.2,1,56.3,1.000,0.000
1.837361177,PF,1,0,0,0,1,1,8,0,0,34.5,0,56.8,1.000,0.000
1.832388878,PF,1,0,0,0,1,1,10,0,0,35.0,0,56.3,1.000,0.000
1.865416686,PF,1,0,0,0,1,1,16,0,0,35.6,0,56.3,1.000,0.000
1.48760589,PF,1,0,0,0,1,1,42,0,0,33.9,0,60.8,1.000,0.000
1.668333371,PF,1,0,0,0,1,1,2,0,0,36.0,0,60.8,1.000,0.000
1.702777704,PF,1,0,0,0,1,1,2,0,0,36.0,1,60.8,1.000,0.000
1.464166641,PF,1,0,0,0,1,1,8,0,0,33.5,0,60.8,1.000,0.000
1.603611151,PF,1,0,0,0,1,1,2,0,0,34.0,1,60.8,1.000,0.000
1.426111062,PF,1,0,0,0,1,1,2,0,0,32.0,0,60.8,1.000,0.000
1.553981463,PF,1,0,0,0,1,1,21,0,0,35.6,1,61.8,1.000,0.000
1.786249955,PF,1,0,0,0,1,1,8,0,0,36.0,0,61.0,1.000,0.000
1.837222258,PF,1,0,0,0,1,1,2,0,0,37.0,0,61.4,1.000,0.000
1.837222258,PF,1,0,0,0,1,1,2,0,0,37.0,0,61.4,1.000,0.000
1.770754655,DV,1,0,0,0,1,1,307,0,0,34.1,0,57.0,1.000,0.000
1.7567571,DV,1,0,0,0,1,1,623,0,0,34.1,0,57.8,1.000,0.000
2.191041629,EVL,0,1,0,0,1,1,4,0,0.953000009,33.5,0,43.0,0.816,0.184
2.168263912,EVL,0,1,0,0,1,1,4,0,0.5625,33.5,0,43.0,0.816,0.184
2.19416666,EVL,0,1,0,0,1,1,3,0,0.5625,33.0,0,43.0,0.840,0.160
2.227962971,EVL,0,1,0,0,1,1,3,0,0.953000009,33.0,0,43.0,0.840,0.160
1.618564765,EVL,1,0,0,0,1,1,3,0,0,33.0,0,56.0,0.850,0.150
1.618564765,EVL,1,0,0,0,1,1,3,0,0,33.0,0,56.0,0.850,0.150
2.084259192,EVL,0,0,1,0,1,1,3,3.299999952,2.75,33.0,0,56.0,0.944,0.056
2.017592589,EVL,0,0,1,0,1,1,3,1.870000005,1.799999952,33.0,0,56.0,0.944,0.056
2.134722233,EVL,0,0,1,0,1,1,4,2.625,2.059999943,33.5,0,56.0,0.944,0.056
1.931180477,EVL,1,0,0,0,1,1,4,0,0,33.5,0,47.0,0.964,0.036
1.931180477,EVL,1,0,0,0,1,1,4,0,0,33.5,0,47.0,0.964,0.036
1.931180477,EVL,1,0,0,0,1,1,4,0,0,33.5,0,47.0,0.964,0.036
1.289968093,JCP,1,0,0,0,1,1,2536,0,0,31.3,0,58.1,1.000,0.000
1.420726299,JCP,1,0,0,0,1,1,4944,0,0,32.5,0,55.5,1.000,0.000
1.440717061,JCP,1,0,0,0,1,1,1992,0,0,32.4,0,54.7,1.000,0.000
1.374649843,JCP,1,0,0,0,1,1,6872,0,0,32.9,0,58.1,1.000,0.000
1.336851915,CIN,1,0,0,0,1,1,75,0,0,34.3,0,65.3,1.000,0.000
1.549166679,CIN,1,0,0,0,1,0,25,0,0,37.0,0,65.3,0.956,0.044
1.303472201,CIN,1,0,0,0,1,0,100,0,0,35.0,0,64.8,0.956,0.044
1.180034161,DIL,1,0,0,0,1,1,911,0,0,14.6,0,52.1,1.000,0.000
1.180034161,DIL,1,0,0,0,1,1,283,0,0,14.6,0,52.1,1.000,0.000
1.501247565,BB,1,0,0,0,1,1,224,0,0,32.4,0,59.1,1.000,0.000
1.617709478,BB,0,0,1,1,0,1,1235,0.660000026,0.660000026,32.3,0,59.8,1.000,0.000
1.587106705,BB,0,0,1,1,0,1,919,0.774999976,0.709999979,32.4,0,60.7,1.000,0.000
1.597810427,BB,0,0,1,1,0,1,603,0.774999976,0.709999979,32.4,0,60.6,1.000,0.000
1.575071653,BB,0,1,0,1,0,1,1055,0,0.425000012,32.4,0,60.7,1.000,0.000
1.560415745,BB,0,1,0,0,1,1,594,0,0.449999988,32.2,0,60.2,1.000,0.000
